"posteam","total_passing_yards","year"
"ARI",4425,2016
"ATL",4960,2016
"BAL",4343,2016
"BUF",3250,2016
"CAR",3962,2016
"CHI",4139,2016
"CIN",4206,2016
"CLE",3693,2016
"DAL",3799,2016
"DEN",3914,2016
"DET",4327,2016
"GB",4445,2016
"HOU",3418,2016
"IND",4491,2016
"JAX",3925,2016
"KC",3914,2016
"LA",3313,2016
"LAC",4386,2016
"LV",4137,2016
"MIA",3716,2016
"MIN",4119,2016
"NE",4456,2016
"NO",5258,2016
"NYG",4027,2016
"NYJ",3645,2016
"PHI",3798,2016
"PIT",4377,2016
"SEA",4422,2016
"SF",3166,2016
"TB",4165,2016
"TEN",3720,2016
"WAS",4948,2016
NA,0,2016
"ARI",3979,2017
"ATL",4146,2017
"BAL",3235,2017
"BUF",3065,2017
"CAR",3319,2017
"CHI",3085,2017
"CIN",3386,2017
"CLE",3537,2017
"DAL",3326,2017
"DEN",3668,2017
"DET",4470,2017
"GB",3532,2017
"HOU",3644,2017
"IND",3226,2017
"JAX",3716,2017
"KC",4326,2017
"LA",4023,2017
"LAC",4551,2017
"LV",3761,2017
"MIA",3792,2017
"MIN",3929,2017
"NE",4619,2017
"NO",4334,2017
"NYG",3680,2017
"NYJ",3501,2017
"PHI",3967,2017
"PIT",4542,2017
"SEA",3979,2017
"SF",4235,2017
"TB",4607,2017
"TEN",3394,2017
"WAS",4093,2017
NA,0,2017
"ARI",2884,2018
"ATL",4949,2018
"BAL",3708,2018
"BUF",3052,2018
"CAR",4071,2018
"CHI",3747,2018
"CIN",3569,2018
"CLE",4261,2018
"DAL",3885,2018
"DEN",3930,2018
"DET",3844,2018
"GB",4629,2018
"HOU",4165,2018
"IND",4595,2018
"JAX",3431,2018
"KC",5126,2018
"LA",4730,2018
"LAC",4316,2018
"LV",4057,2018
"MIA",3309,2018
"MIN",4298,2018
"NE",4405,2018
"NO",4174,2018
"NYG",4405,2018
"NYJ",3404,2018
"PHI",4524,2018
"PIT",5174,2018
"SEA",3448,2018
"SF",4247,2018
"TB",5358,2018
"TEN",3255,2018
"WAS",3287,2018
NA,0,2018
"ARI",3827,2019
"ATL",5049,2019
"BAL",3350,2019
"BUF",3476,2019
"CAR",4134,2019
"CHI",3573,2019
"CIN",3994,2019
"CLE",3903,2019
"DAL",4902,2019
"DEN",3401,2019
"DET",4187,2019
"GB",4017,2019
"HOU",4083,2019
"IND",3314,2019
"JAX",4023,2019
"KC",4690,2019
"LA",4669,2019
"LAC",4648,2019
"LV",4110,2019
"MIA",4117,2019
"MIN",3729,2019
"NE",4153,2019
"NO",4431,2019
"NYG",4070,2019
"NYJ",3443,2019
"PHI",4063,2019
"PIT",3214,2019
"SEA",4110,2019
"SF",4029,2019
"TB",5127,2019
"TEN",3956,2019
"WAS",3205,2019
NA,0,2019
"ARI",4102,2020
"ATL",4620,2020
"BAL",2919,2020
"BUF",4786,2020
"CAR",4129,2020
"CHI",3925,2020
"CIN",3793,2020
"CLE",3701,2020
"DAL",4511,2020
"DEN",3673,2020
"DET",4397,2020
"GB",4299,2020
"HOU",4843,2020
"IND",4186,2020
"JAX",3955,2020
"KC",5005,2020
"LA",4183,2020
"LAC",4548,2020
"LV",4383,2020
"MIA",3937,2020
"MIN",4265,2020
"NE",3124,2020
"NO",3945,2020
"NYG",3336,2020
"NYJ",3115,2020
"PHI",3728,2020
"PIT",4129,2020
"SEA",4245,2020
"SF",4320,2020
"TB",4776,2020
"TEN",3826,2020
"WAS",3796,2020
NA,0,2020
"ARI",4619,2021
"ATL",3987,2021
"BAL",4267,2021
"BUF",4450,2021
"CAR",3573,2021
"CHI",3635,2021
"CIN",4806,2021
"CLE",3619,2021
"DAL",4963,2021
"DEN",3856,2021
"DET",3884,2021
"GB",4526,2021
"HOU",3630,2021
"IND",3588,2021
"JAX",3674,2021
"KC",4937,2021
"LA",4893,2021
"LAC",5014,2021
"LV",4808,2021
"MIA",3936,2021
"MIN",4450,2021
"NE",4098,2021
"NO",3437,2021
"NYG",3463,2021
"NYJ",3959,2021
"PHI",3585,2021
"PIT",4017,2021
"SEA",3815,2021
"SF",4437,2021
"TB",5383,2021
"TEN",3745,2021
"WAS",3746,2021
NA,0,2021
"ARI",3966,2022
"ATL",2927,2022
"BAL",3202,2022
"BUF",4291,2022
"CAR",3246,2022
"CHI",2598,2022
"CIN",4520,2022
"CLE",3710,2022
"DAL",3911,2022
